;;;;;;;;;0;0;;;;0;
Società (B);Quadro (C);Altro (D);Ricla MG esteso (E);Codice Conto (F);Conto COGE (G);Cluster II (H);Conto COGE I livello (I);Conto COGE II livello (J);Valore mese € — CVS;Valore mese € — De Giorgi;Stato;Nota;;TOTALE;
CVS;SP;;Intangible Assets;100201;Costi Di Impianto E Ampliamento;Impianto e ampliamento;Immobilizzazioni Immateriali;Bl.1 - costi di impianto e di ampliamento;4214,29;0;;Bilancio di Verifica;;4.214,29;100201
CVS;SP;;Intangible Assets;100203;Software;Software;Immobilizzazioni Immateriali;BI.4 - concessioni, licenze, marchi e diritti simili;4.758.632,60;33.076;;Bilancio di Verifica;;4.791.708,60;100203
CVS;SP;;Intangible Assets;100205;Avviamento;Avviamento;Immobilizzazioni Immateriali;BI.5 - avviamento;50.053.944,92;0;;Bilancio di Verifica;;50.053.944,92;100205
CVS;SP;;Intangible Assets;100207;Lavori Straor. Su Beni Di Terzi;Lavori su beni di terzi;Immobilizzazioni Immateriali;BI.7 - altre immobilizzazioni immateriali;120.976.572,62;1.044.800,95;;Bilancio di Verifica;;122.021.373,57;100207
CVS;SP;;Intangible Assets;100209;Lavori Straor. Su Beni Di Terzi In Corso;Lavori su beni di terzi in corso;Immobilizzazioni Immateriali;BI.7 - altre immobilizzazioni immateriali;21.620.273,21;0;;Bilancio di Verifica;;21.620.273,21;100209
CVS;SP;;Intangible Assets;100211;Costi Di Ricerca E Sviluppo;Costi di ricerca e sviluppo;Immobilizzazioni Immateriali;BI.2 - costi di sviluppo;0;0;;assente nel grezzo → 0 (nessuna attività);;0;100211
CVS;SP;;Intangible Assets;100215;Concessioni, Licenze E Marchi;Concessioni licenze e marchi;Immobilizzazioni Immateriali;BI.4 - concessioni, licenze, marchi e diritti simili;354.977,91;0;;Bilancio di Verifica;;354.977,91;100215
CVS;SP;;Intangible Assets;100217;Altri Costi Ad Util. Plur. Da Amm.;Other intangible;Immobilizzazioni Immateriali;BI.7 - altre immobilizzazioni immateriali;201.871,57;8966,25;;Bilancio di Verifica;;210.837,82;100217
CVS;SP;;Intangible Assets;100223;F/Amm. Costi Impianto;Impianto e ampliamento;Immobilizzazioni Immateriali;Bl.1 - costi di impianto e di ampliamento;-1496,05;0;;Bilancio di Verifica;;-1.496,05;100223
CVS;SP;;Intangible Assets;100225;F/Amm Software;Software;Immobilizzazioni Immateriali;BI.4 - concessioni, licenze, marchi e diritti simili;-2.334.868,14;-33.076;;Bilancio di Verifica;;-2.367.944,14;100225
CVS;SP;;Intangible Assets;100227;F/Amm Avviamento;Avviamento;Immobilizzazioni Immateriali;BI.5 - avviamento;-8392,14;0;;Bilancio di Verifica;;-8.392,14;100227
CVS;SP;;Intangible Assets;100231;F/Amm Concessioni, Licenze E Marchi;Concessioni licenze e marchi;Immobilizzazioni Immateriali;BI.4 - concessioni, licenze, marchi e diritti simili;-260.807,85;0;;Bilancio di Verifica;;-260.807,85;100231
CVS;SP;;Intangible Assets;100233;F/Amm Ricerca E Sviluppo;Costi di ricerca e sviluppo;Immobilizzazioni Immateriali;BI.2 - costi di sviluppo;0;0;;assente nel grezzo → 0 (nessuna attività);;0;100233
